state,breweries,brewRank
Alabama,10,40
District of Columbia,6,
Minnesota,47,17
Connecticut,21,31
Nevada,21,32
Tennessee,30,23
Oklahoma,10,41
Florida,57,13
Kentucky,14,39
Idaho,29,25
Arkansas,10,42
Illinois,67,11
Virginia,48,15
New Hampshire,19,35
Arizona,44,19
North Carolina,70,10
Wyoming,15,38
South Dakota,7,47
Utah,16,37
Indiana,54,14
South Carolina,16,36
Maryland,30,24
Massachusetts,47,16
Louisiana,8,45
Washington,158,2
Michigan,122,5
West Virginia,5,48
California,316,1
New Mexico,27,26
Georgia,22,29
Delaware,9,44
Missouri,45,18
Oregon,140,4
Hawaii,9,43
Texas,84,8
New York,88,7
Iowa,33,22
Nebraska,19,34
Kansas,19,33
Montana,36,21
Rhode Island,8,46
Colorado,151,3
Alaska,22,30
New Jersey,26,27
Maine,37,20
Mississippi,3,50
Pennsylvania,102,6
Wisconsin,83,9
Ohio,58,12
Vermont,25,28
North Dakota,4,49
