BeerCount,Style
50,Witbier
15,Winter Warmer
1,Wheat Ale
17,Vienna Lager
11,Tripel
1,Smoked Beer
3,Shandy
18,Scottish Ale
15,Scotch Ale / Wee Heavy
9,Schwarzbier
52,Saison / Farmhouse Ale
18,Rye Beer
11,Russian Imperial Stout
2,Roggenbier
2,Rauchbier
3,Radler
4,Quadrupel (Quad)
23,Pumpkin Ale
1,Other
2,Old Ale
17,Oatmeal Stout
19,Munich Helles Lager
4,Munich Dunkel Lager
10,Milk / Sweet Stout
5,Mead
5,Maibock / Helles Bock
24,Märzen / Oktoberfest
1,Low Alcohol Beer
12,Light Lager
1,Kristalweizen
3,Keller Bier / Zwickel Bier
41,Kölsch
12,Irish Red Ale
5,Irish Dry Stout
9,Herbed / Spiced Beer
39,Hefeweizen
1,Grisette
9,Gose
36,German Pilsener
46,Fruit / Vegetable Beer
6,Foreign / Export Stout
1,Flanders Red Ale
1,Flanders Oud Bruin
18,Extra Special / Strong Bitter (ESB)
2,Euro Pale Lager
5,Euro Dark Lager
4,English Strong Ale
2,English Stout
3,English Pale Mild Ale
12,English Pale Ale
12,English India Pale Ale (IPA)
6,English Dark Mild Ale
18,English Brown Ale
3,English Bitter
3,English Barleywine
4,Dunkelweizen
5,Dubbel
6,Dortmunder / Export Lager
7,Doppelbock
27,Czech Pilsener
28,Cream Ale
36,Cider
3,Chile Beer
6,California Common / Steam Beer
1,Braggot
7,Bock
7,Bière de Garde
11,Berliner Weissbier
6,Belgian Strong Pale Ale
6,Belgian Strong Dark Ale
24,Belgian Pale Ale
18,Belgian IPA
11,Belgian Dark Ale
6,Baltic Porter
6,American Wild Ale
11,American White IPA
14,American Strong Ale
39,American Stout
65,American Porter
25,American Pilsner
80,American Pale Wheat Ale
36,American Pale Lager
234,American Pale Ale (APA)
1,American Malt Liquor
409,American IPA
3,American India Pale Lager
9,American Double / Imperial Stout
2,American Double / Imperial Pilsner
100,American Double / Imperial IPA
7,American Dark Wheat Ale
68,American Brown Ale
103,American Blonde Ale
33,American Black Ale
3,American Barleywine
26,American Amber / Red Lager
131,American Amber / Red Ale
14,American Adjunct Lager
12,Altbier
2,Abbey Single Ale
5,null
